id,title,image_link,availability,inventory,price,sale_price,mpn,description,condition,link
11421495,ALGOTHERM AlgoMask Cocooning comfort 50ml,https://taplink.st/p/7/a/7/d/57273806.jpg?0,in stock,1,24.90 EUR,19.90 EUR,PROFILE1198143,"Восстанавливающая комфорт маска ALGOTHERM AlgoMask интенсивно питает кожу, уменьшает образование морщинок, восстанавливает упругость кожи и соответствует нуждам зрелой кожи. Кожа становится более упругой, гладкой и мягкой. Водоросль Kappaphycus Alvarezii, входящая в состав маски, увлажняет, восстанавливает плотность клеток и защитный барьер кожи. Масло Ши восстанавливает и питает кожу.

Применение:
Нанести тонким слоем на очищенную кожу лица и шеи. Оставить на 5-10 минут, излишки удалить. Использовать 2-3 раза в неделю.
____
ALGOTHERM AlgoMask Atjaunojoša komforta maska intensīvi baro ādu, mazina grumbiņu veidošanos, atjauno ādas tvirtumu un atbilst nobriedušas ādas vajadzībām. Āda kļūst stingrāka, gludāka un maigāka.

Sastāvā esošā Kappaphycus Alvarezii aļģe mitrina, atjauno šūnu blīvumu un ādas aizsargbarjeru. Šī sviests atjauno un baro ādu.

Lietošana:
Plānā, vidēji biezā slānī uzklāt uz attīrītas sejas un kakla ādas. Atstāt iedarboties 5-10 minūtes, lieko notīrīt. Lietot 2-3 reizes nedēļā.",new,https://taplink.cc/crystalino.beauty/o/ae4737/
11421486,ALGOTHERM AlgoEssential oil 100ml,https://taplink.st/p/c/9/6/e/57273745.jpg?0,in stock,3,14.50 EUR,,PROFILE1198143,"ALGOTHERM AlgoEssential Масло для эффективного ежедневного очищения и снятия косметики для всех типов кожи, даже для чувствительной кожи

Очищает кожу, а также удаляет водостойкий макияж. Эффективно удаляет излишки кожного сала и частицы загрязнений. Масло подходит для всех типов кожи, даже для чувствительной. Не имеет жирной текстуры. Не сушит кожу. В составе имеющаяся водоросль Codium Tomentosum  блокирует и регулирует процессы обезвоживания. Водоросль Laminaria Ochroleuca успокаивает кожу и снижает её чувствительность, а масло арганы питает и восстанавливает кожу.

Использование:
Нанесите на сухую кожу. Кончиками пальцев вмассируйте средство в кожу . Смойте водой, после воспользуйтесь пенокой.
___
AlgoEssential Eļļa kosmētikas noņemšanai attīra ādu un noņem arī ūdensnoturīgu dekoratīvo kosmētiku. Efektīvi attīra no liekā sebuma un piesārņojuma daļiņām. Eļļa piemērota visiem ādas tipiem, pat jutīgai ādai. Nav taukaina tekstūra. Nesausina ādu.

Sastāvā esošā Codium Tomentosum aļģe ierobežo un regulē dehidratāciju. Laminaria Ochroleuca aļģe nomierina ādu un samazina ādas jutību, savukārt Argāna eļļa baro un atjauno ādu.

Uzklāt uz sausas sejas ar sausām rokām. Ar pirkstu galiem produktu iemasēt ādā, veicot eksfoliējošas kustības. Noskalot ar ūdeni, pec tam izmantot putas.",new,https://taplink.cc/crystalino.beauty/o/ae472e/
11421434,ALGOTHERM AlgoTime Expert Youth Lift 50ml,https://taplink.st/p/8/9/2/f/57273452.jpg?0,in stock,1,49.50 EUR,,PROFILE1198143,"ALGOTHERM AlgoTime Expert Укрепляющий и подтягивающий крем возвращает коже упругость и эластичность.

Заметно укрепляет, увлажняет и подтягивает кожу. Входящая в состав водоросль Alaria Esculenta возвращает упругость коже, а водоросль Ulva Lactuca укрепляет овал лица. Водоросль Chondrus Crispus увлажняет, защищает и восстанавливает. Шелковица предотвращает старение. Витамин Е защищает.

Применение:
Наносить утром и вечером на очищенную кожу лица и шеи.
___
ALGOTHERM AlgoTime Expert Liftinga krēms atjauno ādas tvirtumu un elastību. Redzami nostiprina, mitrina un padara ādu tvirtāku. Sastāvā esošā Alaria Esculenta aļģe nostiprina ādu. Ulva Lactuca aļģe nostiprina sejas kontūru. Chondrus Crispus aļģe mitrina, aizsargā un atjauno. Zīdkoks kavē novecošanos. E vitamīns aizsargā.

Lietošana:
Uzklāt uz attīrītas sejas un kakla ādas no rīta un vakarā",new,https://taplink.cc/crystalino.beauty/o/ae46fa/
11421429,ALGOTHERM AlgoEssential foam 150ml,https://taplink.st/p/5/5/0/3/57273411.jpg?0,in stock,2,17.50 EUR,,PROFILE1198143,"Воздушная пенка ALGOTHERM AlgoEssential нежно очищает кожу от лишнего себума и частиц загрязнения, эффективно снимает декоративную косметику, предусмотрена для всех типов кожи, также и для чувствительной кожи. Находящаяся в составе водоросль Codium Tomentosum, предотвращает и регулирует обезвоживание. Pollustop® является натуральной защитой от частиц загрязнения. Гиалуроновая кислота улучшает защиту кожи от нежелательных условий окружающей среды.
Пенка для ежедневного применения делает кожу сияющей, нежной, а также успокаивает её.

Способ приминения:
Нанести на мокрую кожу и помассировать кругообразными движениями. Смыть водой.
______
ALGOTHERM AlgoEssential Attīrošās putas maigi attīra ādu no liekā sebuma un piesārņojuma daļiņām un efektīvi noņem dekoratīvo kosmētiku, paredzētas visiem ādas tipiem, pat jutīgai ādai.

Sastāvā esošā Codium Tomentosum aļģe ierobežo un regulē dehidratāciju. Pollustop® dabiska fiziskā barjera pret piesārņojuma daļiņām. Hialuronskābe uzlabo ādas aizsardzību no nelabvēlīgiem ārējās vides apstākļiem.

Lietošana:
Uzklāt mitrai ādai un masēt ar apļveida kustībām. Noskalot ar ūdeni",new,https://taplink.cc/crystalino.beauty/o/ae46f5/
11082647,MARY & MAY Vitamin B5 + Bifida Toner,https://taplink.st/p/3/5/9/5/54023348.jpg?0,in stock,3,23.00 EUR,,PROFILE1198143,"Тонер с бифидобактериями и пантенолом - это тонер для восстановления защитного барьера кожи, увлажнения и придания ее покрову здорового свечения. Мгновенно наполняет кожу живительной влагой, помогает поддерживать гидролипидный баланс, устраняет сухость и обезвоженность кожи, она становится более насыщенной, сияющей эластичной и гладкой. Восстанавливает pH, нарушенный в результате умывания, смягчает и омолаживает кожу, укрепляет защитные функции кожи 

Основные компоненты:
▪️Лизат бифидобактерий
▪️Ниацинамид
▪️Витамин B5
▪️Бетаин
▪️Аденозин

Способ применения: 
после умывания нанести тонер на лицо. Похлопывающими легкими движениями  «вбейте» тонер в кожу лица
___
Toneris ar bifidobaktērijām un pantenolu - tas ir toneris ādas aizsargbarjeras atjaunošanai, mitrināšanai un veselīga mirdzuma piešķiršanai. Acumirklī piepilda ādu ar dzīvinošu mitrumu, palīdz uzturēt hidrolipīdu līdzsvaru, novērš ādas sausumu un dehidratāciju, tā kļūst piesātinātāka, mirdzošāka, elastīgāka un gludāka. Atjauno mazgāšanas rezultātā izjaukto pH, mīkstina un atjauno ādu, stiprina ādas aizsargfunkcijas

Galvenās sastāvdaļas:
▪️Bifdobaktēriju lizāts
▪️Niacinamīds
▪️B5 vitamīns
▪️Betaīns
▪️Adenozīns

Lietošana:
Pēc mazgāšanas uzklājiet toneri uz sejas. Ar vieglām glāstošām kustībām ""iespiediet"" toneri sejas ādā.",new,https://taplink.cc/crystalino.beauty/o/a91b97/
10919403,TIAM VITA B5 TONER,https://taplink.st/p/9/9/1/0/52729190.jpg?0,in stock,1,16.50 EUR,,PROFILE1198143,"Увлажняющий тонер с пантенолом и пептидами TIAM B5 Toner
- эффективно устраняет сухость и обезвоженность
- восполняет недостаток влаги 
- поддерживает оптимальный водно-липидный баланс

Делает кожу более упругой и эластичной, разглаживает морщинки и кожные заломы и улучшает текстуру кожи.
Тонер обладает консистенцией сгущенной водички, эффективно восстанавливает кожу после умывания жесткой водой, моментально устраняя стянутость.

Основные действующие ингредиенты:
- Пантенол или витамин B5
- Гиалуронат натрия 
- Гидролизованный коллаген 
- Растительные ферменты 

Подходит для всех типов кожи.

Способ применения:
нанесите небольшое количество тонера на очищенную кожу подушечками пальцев или с помощью ватного диска.
___
Mitrinošs toniks ar pantenolu un peptīdiem TIAM B5 Toner
- efektīvi novērš sausumu un dehidratāciju
- kompensē mitruma trūkumu
- uztur optimālu ūdens-lipīdu līdzsvaru

Padara ādu tvirtāku un elastīgāku, izlīdzina grumbas un ādas krokas un uzlabo ādas tekstūru.
Tonikam ir kondensēta ūdens konsistence, efektīvi atjauno ādu pēc mazgāšanas ar cietu ūdeni, acumirklī novēršot sasprindzinājumu.

Galvenās aktīvās sastāvdaļas:
- Pantenols vai B5 vitamīns
- Nātrija hialuronāts
- Hidrolizēts kolagēns
- Augu fermenti

Piemērots visiem ādas tipiem.

Lietošanas veids:
Uzklājiet nelielu daudzumu tonera uz attīrītas ādas ar pirkstu galiem vai vates disku.",new,https://taplink.cc/crystalino.beauty/o/a69deb/
10919340,COSRX Centella Water Alcohol-Free Toner,https://taplink.st/p/6/7/4/9/52728947.jpg?0,in stock,6,17.95 EUR,,PROFILE1198143,"Многофункциональный безалкогольный тонер с центеллой. Не содержит спирт.

Основные компоненты:
- Минеральная вода с острова Чеджу (82%) 
- Гидролат центеллы азиатской (10%) обла
- Пантенол 
- Аллантоин 
- Гиалуроновая кислота 

Подходит для всех типов кожи, особенно для жирной, проблемной, чувствительной.

Способ применения: 
После умывания распылите тоник на лицо и дайте впитаться или ватный диск и мягко протрите кожу лица.
___
Daudzfunkcionāls bezalkoholisks toneris ar centellu. Nesatur spirtu.

Galvenās sastāvdaļas:
- Minerālūdens no Jeju salas (82%)
- Centella asiatica hidrolāts (10%)
- Pantenols
- Alantoīns
- Hialuronskābe

Piemērots visiem ādas tipiem, īpaši taukainai, problemātiskai, jutīgai.

Lietošanas veids:
Pēc tīrīšanas uzsmidziniet toniku uz sejas un ļaujiet tai iesūkties vai izmantojiet vates spilventiņu un maigi noslaukiet seju.

150ml",new,https://taplink.cc/crystalino.beauty/o/a69dac/
10573008,Prreti So Good Foot Peeling Mask 3-Step Program 1pair,https://taplink.st/p/6/e/c/1/50213316.jpg?0,in stock,10,4.50 EUR,,PROFILE1198143,"Мягкие пяточки как у младенца теперь можно обеспечить себе, проделав несложную процедуру дома.
Отшелушивающие носочки для кожи ног PRRETI So Good Foot Peeling Mask 3-Step Program
высокоэффективны, и могут очистить кожу даже самых огрубевших стоп, при этом увлажняя и питая их.

Носочки - маска прекрасная альтернатива салонным процедурам.
Они имеют пропитку из специального ухаживающего состава: растительных масел, экстрактов, гиалуроновой кислоты и активных отшелушивающих компонентов, которые бережно очищают кожу, не травмируя ее.
Пилинг-маска для ног деликатно удаляет ороговевшие клетки кожи, регулирует ее обменные процессы, стимулирует ее обновление.
Через 2 недели после применения, пяточки обретают необыкновенную мягкость, гладкость, упругость, исчезают неэстетичные трещины и потертости.
-Один из главных компонентов продукта – гиалуроновая кислота
-Масла и растительные экстракты играют в маске не менее важную роль – они предотвращают возможные воспалительные процессы, успокаивают раздраженную кожу, предотвращают зуд, питают и заживляют ее.

Способ применения:
1 шаг: очистите ноги специальным средством, затем, вытрите их насухо.
2 шаг: надеть носочки, закрепить их с помощью наклейки и оставить на 60-90 минут. Смыть водой.
3 шаг: нанести крем и слегка помассировать.
____
Mīkstas pēdiņas kā mazuļiem tagad var iegūt arī sev, veicot vienkāršu procedūru mājās.
PRRETI So Good Foot Peeling Mask 3-Step Program - ļoti iedarbīgs pīlings, spēj attīrīt ādu pat no raupjākajām pēdām, vienlaikus mitrinot un barojot tās.

Zeķes-maska ​​ir lieliska alternatīva salonu procedūrām.
Tie ir piesūcināti ar īpašu kopjošu sastāvu: augu eļļas, ekstrakti, hialuronskābi un aktīvās pīlinga sastāvdaļas, kas maigi attīra ādu, to nekaitējot.
Pīlinga maska ​​kājām delikāti noņem atmirušās ādas šūnas, regulē tās vielmaiņas procesus, stimulē tās atjaunošanos.
Pēc 2 nedēļām pēc lietošanas papēži iegūst neierastu maigumu, gludumu, elastību, pazūd neestētiskas plaisas un skrāpējumi.
- Viena no galvenajām produkta sastāvdaļām - hialuronskābe
- Maskas sastāvā vienlīdz svarīga loma ir eļļām un augu ekstraktiem – tie novērš iespējamos iekaisumus, nomierina sakairinātu ādu, novērš niezi, baro un dziedē to.

Uzklāšanas metode:
1. solis: notīriet kājas ar speciālu līdzekli un pēc tam nosusiniet.
2. solis: uzvelciet zeķes, nofiksējiet tās ar uzlīmi un atstājiet uz 60-90 minūtēm. Nomazgājiet ar ūdeni.
3. solis: uzklājiet krēmu un maigi iemasējiet.",new,https://taplink.cc/crystalino.beauty/o/a154d0/
10570125,Prreti PH Balancing Hyaluronic Cleansing Oil 200ml,https://taplink.st/p/b/8/4/4/50213178.jpg?0,in stock,3,14.50 EUR,,PROFILE1198143,"Успокаивающее гидрофильное масло деликатно очищает кожу от пыли, загрязнений, мягко удаляет излишки себума и остатки макияжа не нарушая гидролипидный баланс кожи. Средство осветляет черные точки, снимает покраснения и раздражения, оказывает восстанавливающее воздействие на кожу. 
Благодаря слабо-кислотному pH 4.7-6.7 средство поддерживает оптимальный уровень увлажненности и не нарушает микрофлору кожи

Основной состав:
-Гиалуроновая кислота 
-Коллаген
-Масло оливы 
-Масло розы
-Масло жожоба

Гидрофильное масло не содержит парабенов, сульфатов, спирта, искусственных красителей и минеральных масел

Способ применения: 
нанесите пару капель гидрофильного масло на сухую кожу сухими руками, аккуратно помассируйте лицо. Смойте средство теплой водой, после умойтесь с пенкой/гелем

Объём: 200мл
____
Nomierinoša hidrofilā eļļa maigi attīra ādu no putekļiem, netīrumiem, maigi noņem lieko sebumu un kosmētikas atlikumus, neizjaucot ādas hidrolipīdu līdzsvaru. Līdzeklis izgaismo melnos punktus, mazina apsārtumu un kairinājumu, atjauno ādu.
Pateicoties vāji skābajam pH 4,7-6,7 līmenim, produkts uztur optimālu mitruma līmeni un neizjauc ādas mikrofloru.

Galvenās sastāvdaļas:
-Hialuronskābe
-Kolagēns
-Olīveļļa
-Rožu eļļa
-Jojobas eļļa

Hidrofīlā eļļa nesatur parabēnus, sulfātus, spirtu, mākslīgās krāsvielas un minerāleļļas

Lietošana:
Uzklājiet pāris pilienus hidrofilās eļļas uz sausas ādas ar sausām rokām, maigi pamasējiet seju. Noskalo ar siltu ūdeni, pēc tam nomazgā ar putām/želeju

Tilpums: 200ml",new,https://taplink.cc/crystalino.beauty/o/a1498d/
10570041,Mary&May Clean Skin Care Gift Set,https://taplink.st/p/1/f/b/6/50211678.jpg?0,in stock,4,36.99 EUR,,PROFILE1198143,"Набор включает 2 средства в праздничной упаковке и набор пробников: 
Тонер с бифидобактериями и витамином B5 Mary&May Vitamine B5 Bifida Toner 120 ml
Лосьон с бифидобактериями и витамином C Mary&May Vitamin C Bifida Lotion 120 ml 
Набор успокаивающих пробников

Тонер с бифидобактериями и пантенолом помогает подготовить чувствительную кожу к нанесению активного ухода. Он восстанавливает pH, нарушенный в результате умывания, смягчает кожу, обеспечивает дополнительное очищение, а также укрепляет защитные функции кожи. Мгновенно наполняет кожу живительной влагой, помогает поддерживать гидролипидный баланс, устраняет сухость и обезвоженность кожи, она становится более насыщенной, сияющей, эластичной и гладкой.

Основной состав:
-Лизат бифидобактерий 
-Витамин B3 или (ниацинамид)
-Витамин B5 (пантенол) 
-Аденозин 

Способ применения: нанесите необходимое количество средства на чистую кожу, после умывания

Легкий лосьон с бифидобактериями и витамином С обладает антиоксидантным действием и улучшает тон кожи.

Состав подобран идеально для того, чтобы сбалансировать водно-минеральный баланс кожи, восстановить ее естественные защитные свойства.

Основной состав:
-Лизат бифидобактерий 
-Витамин B3 или (ниацинамид) 
-Витамин С (аскорбиновая кислота)
-Витамин B5 (пантенол) 
-Витамин Е (токоферола ацетат)
-Аденозин 
-Гиалуроновая кислота

Все ингредиенты в составе сертифицированы EWG и безопасны для использования. Средство дерматологически протестировано и признано безопасным для чувствительной кожи лица.
НЕ содержит вредных химических компонентов, которые могут спровоцировать аллергические реакции или раздражения, такие как: синтетические ароматизаторы, красители, парабены, этанол, минеральные масла, ПАВ и другие.
Продукция не тестируется на животных (Cruelty Free).

Способ применения: на предварительно очищенную, тонизированную кожу после использования сыворотки нанести необходимое количество и распределить по поверхности лица.",new,https://taplink.cc/crystalino.beauty/o/a14939/
